response,condition,morph,type,id,trial,Attack,Passby
0,heterospecificPassby,yellow,heterospecific,9,3,0,0
0,heterospecificPassby,yellow,heterospecific,10,1,0,0
7,heterospecificPassby,yellow,heterospecific,10,2,3,7
2,heterospecificPassby,yellow,heterospecific,10,3,0,2
0,heterospecificPassby,yellow,heterospecific,11,1,0,0
1,heterospecificPassby,yellow,heterospecific,12,1,0,1
2,heterospecificPassby,yellow,heterospecific,12,2,0,2
1,heterospecificPassby,yellow,heterospecific,12,3,0,1
0,heterospecificPassby,yellow,heterospecific,13,1,0,0
1,heterospecificPassby,yellow,heterospecific,13,2,0,1
0,heterospecificPassby,yellow,heterospecific,13,3,0,0
1,heterospecificPassby,yellow,heterospecific,14,1,1,1
0,heterospecificPassby,yellow,heterospecific,14,2,0,0
0,heterospecificPassby,yellow,heterospecific,14,3,0,0
1,heterospecificPassby,yellow,heterospecific,15,1,0,1
0,heterospecificPassby,yellow,heterospecific,15,2,0,0
0,heterospecificPassby,yellow,heterospecific,15,3,0,0
1,heterospecificPassby,yellow,heterospecific,16,1,2,1
0,heterospecificPassby,yellow,heterospecific,16,2,1,0
0,heterospecificPassby,yellow,heterospecific,16,3,1,0
0,heterospecificPassby,yellow,heterospecific,17,1,0,0
0,heterospecificPassby,yellow,heterospecific,17,2,0,0
1,heterospecificPassby,yellow,heterospecific,18,1,1,1
0,heterospecificPassby,yellow,heterospecific,18,2,0,0
0,heterospecificPassby,yellow,heterospecific,18,3,0,0
